name,inf base,finetune base,"bias [0, 0.6[","bias [0.6, 2[","bias [2, 4[","bias [4, 6[","smad [0, 0.6[","smad [0.6, 2[","smad [2, 4[","smad [4, 6[","oult [0, 0.6[","oult [0.6, 2[","oult [2, 4[","oult [4, 6["
sim_UD_D200_ColorHead_VarRegu_HeadOnly,spec_UD,b1_1,0.08143987118656953,0.012255907550097164,-0.06764036261796419,-0.14906141212987994,0.04392377029754449,0.03903118415911972,0.07619084297938566,0.11127440770358543,0.32682215741058146,0.31037089294948744,0.5132166789811584,0.5686853758217351
sim_UD200_Multitask_HeadOnly,spec_UD,b1_1,0.06133094867253811,0.009971014335875873,-0.07572518000857562,-0.15139286684223188,0.028077169101012576,0.03166849693663865,0.09779114304185788,0.11669468067058428,0.20021865887753507,0.2660753880131992,0.5791139239428306,0.6041358927560769
sim_UD_D200_ColorHead_VarRegu_ALL,spec_UD,b1_1,0.07780259484750268,0.013285033895566872,-0.06348956405475761,-0.13964156872031672,0.034620711001719304,0.031845774508750854,0.07381723122958125,0.10064000244533179,0.26020408161368774,0.25871800039010695,0.5005584511354135,0.5406203832487143
sim_UD200_Multitask_ALL,spec_UD,b1_1,0.05624878742942229,0.013347211351687269,-0.05571871175544119,-0.15097096869736473,0.024210421284329632,0.028899567912120592,0.08552248005520748,0.12286337799814664,0.1684402332238746,0.23513404554348247,0.5456068502335057,0.592319053777963
sim_UD_D200_ColorHead_VarRegu_HeadOnly,cos2020_UD,b1_1,1.1526945768169727,0.24688975556519846,0.036553646950050055,-0.11656442007903256,1.2376254922658172,0.22473218027413433,0.0946728538792127,0.10750979446781561,0.8443945582681633,0.7503955490657939,0.5860459391336132,0.5971531856870113
sim_UD200_Multitask_HeadOnly,cos2020_UD,b1_1,1.0325080214649995,0.3336167287824639,0.009904988125293158,-0.11568076149781016,1.323951019790178,0.30236178578442563,0.21152526331843644,0.2408506109977879,0.7672247915341588,0.7486622176216583,0.7742998352480231,0.792250338861712
sim_UD_D200_ColorHead_VarRegu_ALL,cos2020_UD,b1_1,1.1610387199373748,0.27129851681553063,0.04523564181598418,-0.06611732132597321,1.330997223768496,0.24133958769033656,0.08806332752558456,0.10167162304000132,0.8180805455082524,0.7370862084402516,0.5567422219644688,0.56868504289603
sim_UD200_Multitask_ALL,cos2020_UD,b1_1,1.028508125902784,0.33355628878864335,-0.0006651539398509839,-0.15917831561085305,1.4270515600897613,0.2773225691887639,0.17681547840564282,0.3037943346138251,0.7418053539354251,0.714949629479316,0.7272908026971985,0.7989719836873603
sim_UD_D200_ColorHead_VarRegu_HeadOnly,spec_D,b1_1,0.2642823746127014,0.04065091729329004,-0.3583704928505166,-0.4866407238843507,0.06376127577811558,0.06060858146815998,0.4191211729603543,0.2816427014722736,0.44989207510024914,0.45463864661474185,0.9029126169761523,0.8888887901234679
sim_UD200_Multitask_HeadOnly,spec_D,b1_1,0.25608416033374204,0.12214505882041347,-0.3590260534412659,-0.37372334573548766,0.05402205151862482,0.05918896862185522,0.4467757273598986,0.4871367250574812,0.4039469625643087,0.44643772401515236,0.9077669858846263,0.8888887901234679
sim_UD_D200_ColorHead_VarRegu_ALL,spec_D,b1_1,0.23211323492374777,0.07048136705194771,-0.29473847075159537,-0.4427648294715231,0.05734141176407836,0.05209853058758808,0.3562850175010878,0.26532953016635263,0.41535615158330064,0.4131214759543201,0.8980582480676784,0.8888887901234679
sim_UD200_Multitask_ALL,spec_D,b1_1,0.13862314792079733,0.09599499494890408,-0.39792834886386025,-0.44391472747830146,0.05308406179914373,0.0538453705223566,0.3898957967279912,0.2575440268133725,0.4039469625643087,0.42696053284112734,0.932038830426996,0.9999998888889013
sim_UD_D200_ColorHead_VarRegu_HeadOnly,cos2020_D,b1_1,0.9506509495797991,0.22078351713028593,0.032402892262127156,-0.09469770696700625,1.34324773667447,0.1928900619481382,0.0900156811889294,0.08753646730531632,0.7713414631206779,0.7010407942695249,0.5635864591144902,0.5358490555927377
sim_UD200_Multitask_HeadOnly,cos2020_D,b1_1,0.7934702632975207,0.27333757342839604,0.0009083115682723775,-0.12713811120221608,0.5455363612210191,0.2185333939665582,0.20829988540529973,0.24442086268148744,0.6943597558329422,0.6962555328751937,0.7840805121122049,0.7849056588964044
