name,inf base,finetune base,"bias [0, 0.6[","bias [0.6, 2[","bias [2, 4[","bias [4, 6[","smad [0, 0.6[","smad [0.6, 2[","smad [2, 4[","smad [4, 6[","oult [0, 0.6[","oult [0.6, 2[","oult [2, 4[","oult [4, 6["
sim_norm300_ColorHead_Regularized_HYP=lr6_clip3_ALL,_UD,base1,0.15795004633685983,0.008881702394187998,-0.28259659529283887,-0.667095353173461,0.07539036364783279,0.03928146730593502,0.22078455768454122,0.041377098956455936,0.46834103690849416,0.29868893831488275,0.8117553217602196,0.9999999980582525
sim_norm300_ColorHead_Regularized_HYP=lr7_clip3_ALL,_UD,base1,0.16611995623796108,0.010511935634314087,-0.3200986451557126,-0.6720232699907138,0.09383963217317579,0.04596823337417347,0.29906966325748224,0.03756380993406966,0.5275658517422853,0.3527354777958686,0.8910713395039099,0.9999999980582525
sim_norm300_ColorHead_Regularized_HYP=lr6_clip3_ALL,_D,base1,0.11230939342210017,0.000129799918692148,-0.33612792607864905,-0.6692523591522849,0.06416550466787664,0.04284214067583209,0.34872368297106154,0.03501875878607878,0.42692180784331185,0.3138278717476003,0.8853362724527715,0.9999999500000024
sim_norm300_ColorHead_Regularized_HYP=lr7_clip3_ALL,_D,base1,0.11714036165448488,0.0029157692225389533,-0.361822536893028,-0.6937600861506724,0.07405238210387854,0.04880734940243975,0.314336337898723,0.03254002173525895,0.46651270192460814,0.3714440042543313,0.9305402415319292,0.9999999500000024
sim_norm300_ColorHead_Regularized_HYP=lr6_clip3_ALL,_UD,base2,0.18378044468445806,0.010527633930977607,-0.16498195766799503,-0.5756533330402366,0.06312227909714879,0.0329185779961685,0.0796327777667957,0.05484710545287356,0.4286072283669709,0.24745487209933,0.6003290293334499,0.9999999980582525
sim_norm300_ColorHead_Regularized_HYP=lr7_clip3_ALL,_UD,base2,0.1876327720188224,0.015358485990665135,-0.22356139341733416,-0.6120001378219952,0.07865184858210256,0.03950225119575182,0.12580480062197458,0.0511095420336626,0.4839338419423085,0.3093506715682549,0.7796001794316965,0.9999999980582525
sim_norm300_ColorHead_Regularized_HYP=lr6_clip3_ALL,_D,base2,0.11762925609798537,0.00032415569844449654,-0.2177307740086265,-0.6297833020691614,0.054077335567803274,0.037137877035018446,0.14080695783031327,0.035986566851344395,0.39392939610889827,0.27277637733655447,0.6879823586681562,0.9999999500000024
sim_norm300_ColorHead_Regularized_HYP=lr7_clip3_ALL,_D,base2,0.12611376233423166,0.00711065969048731,-0.27447813512451813,-0.6282192646259835,0.06505017167363533,0.04411600688728082,0.2207040426162908,0.051441213524125555,0.44044869665442143,0.3379546272347939,0.8379272317112159,0.9999999500000024
sim_norm300_ColorHead_Regularized_HYP=lr6_clip3_ALL,_UD,base3,0.16903100387582265,0.008576350019499395,-0.12295437213617963,-0.49691693368021667,0.05346547433936988,0.028367190833314043,0.059717198177204965,0.10418473854684572,0.39090605333878414,0.20965223714379277,0.45705169746961205,0.9999999980582525
sim_norm300_ColorHead_Regularized_HYP=lr7_clip3_ALL,_UD,base3,0.18768423414817306,0.012096970875872512,-0.18378580783222398,-0.5408034550327115,0.0697946613744054,0.03459184475202179,0.09594438452717022,0.07052746750384863,0.4558667928814427,0.2701578407020473,0.6443990228503714,0.9999999980582525
sim_norm300_ColorHead_Regularized_HYP=lr6_clip3_ALL,_D,base3,0.11028709052251842,0.000670398069709179,-0.16123050335125166,-0.5591263482822109,0.046327731914449985,0.032526112966219135,0.08309703509803028,0.07924662870626412,0.3530188055582254,0.24738926895077612,0.5325248064691016,0.9999999500000024
sim_norm300_ColorHead_Regularized_HYP=lr7_clip3_ALL,_D,base3,0.12597790621355406,0.006532517707865358,-0.2357909199826408,-0.5884730946392788,0.05710377502169208,0.04036038589322093,0.1665632800617294,0.07972778696413604,0.4061365884506313,0.3102268634659296,0.7221609694353242,0.9999999500000024
