name,inf base,finetune base,"bias [0, 0.6[","bias [0.6, 2[","bias [2, 4[","bias [4, 6[","smad [0, 0.6[","smad [0.6, 2[","smad [2, 4[","smad [4, 6[","oult [0, 0.6[","oult [0.6, 2[","oult [2, 4[","oult [4, 6["
sim_norm300_ColorHead_Regularized_HYP=lr57_clip3_ep50_ALL,_UD,base1,0.17924741492645072,0.009891506576412945,-0.23937145242979482,-0.6449055055920379,0.0774244404193564,0.039453242079637796,0.14330884859427934,0.0464086081464464,0.47491229045845873,0.30460261784258064,0.778453561953315,0.9999999980582525
sim_norm300_ColorHead_Regularized_HYP=lr57_clip3_ep100_ALL,_UD,base1,0.1856254757528018,0.009688066928686002,-0.21065281606442748,-0.6234271496382581,0.07254913460749969,0.037464280833860567,0.11170570187382808,0.047468467896764725,0.46157487329560687,0.28597399263959733,0.7113515130010792,0.9999999980582525
sim_norm300_ColorHead_Regularized_HYP=lr57_clip3_ep50_ALL,_D,base1,0.12104924571539298,0.002639419372141828,-0.29683090696944237,-0.6389384735850537,0.0653535418178788,0.04404236119687257,0.2930966673400881,0.046367269911392214,0.43088089725144146,0.33147281232778664,0.8401323033736138,0.9999999500000024
sim_norm300_ColorHead_Regularized_HYP=lr57_clip3_ep100_ALL,_D,base1,0.12455509212845217,0.001987471395900503,-0.2697974789856437,-0.6193737231870641,0.0620606537008506,0.042110746623416524,0.22376597354898659,0.04870175502612496,0.42098317373111743,0.3109470651222637,0.7905181909696603,0.9999999500000024
sim_norm300_ColorHead_Regularized_HYP=lr57_clip3_ep50_ALL,_UD,base2,0.18911929951045484,0.013020452270275488,-0.17072290432438955,-0.5304129425945636,0.06671144953754833,0.03428970082106084,0.08762539057817978,0.07694893324587637,0.4427521300762167,0.26543117460576793,0.60182461734873,0.9999999980582525
sim_norm300_ColorHead_Regularized_HYP=lr57_clip3_ep100_ALL,_UD,base2,0.18028999434687973,0.011585646771930115,-0.1567420300832097,-0.5198634492827722,0.06111863163399865,0.032290315178914765,0.07676968405892066,0.08207838886597484,0.422230884879929,0.2460432885592647,0.5513734482999465,0.9999999980582525
sim_norm300_ColorHead_Regularized_HYP=lr57_clip3_ep50_ALL,_D,base2,0.12576957302310282,0.0059311572424982145,-0.21788402998975495,-0.5817170739026839,0.057695429735090745,0.038734782740084094,0.14526669591733782,0.07107710124436921,0.40481689198125476,0.29366222537024445,0.6824696795121613,0.9999999500000024
sim_norm300_ColorHead_Regularized_HYP=lr57_clip3_ep100_ALL,_D,base2,0.12163315770082027,0.00345305582140013,-0.2005811972703427,-0.5822789130203662,0.05363646709180988,0.036789179471308484,0.12244264339494465,0.06427013587100329,0.38469152082326247,0.2794382426576452,0.622932744627417,0.9999999500000024
sim_norm300_ColorHead_Regularized_HYP=lr57_clip3_ep50_ALL,_UD,base3,0.1725924854407542,0.012220136722995049,-0.14115780879738926,-0.42513877852254367,0.057470332916069206,0.030177586221113967,0.06953687678114773,0.3979961714137403,0.4098680180316905,0.23368123876899563,0.49738272094833325,0.9514563088321237
sim_norm300_ColorHead_Regularized_HYP=lr57_clip3_ep100_ALL,_UD,base3,0.16592534982475973,0.010331486822457606,-0.12114573039749411,-0.3863450287429186,0.05226899143588295,0.028069592483319385,0.05960279711775322,0.3441441203956108,0.3893467728354027,0.2132667465115358,0.43940375888930633,0.9145631050202658
sim_norm300_ColorHead_Regularized_HYP=lr57_clip3_ep50_ALL,_D,base3,0.11676426564942931,0.00536841799680445,-0.17506683216992844,-0.5276430420995377,0.04874914563053055,0.03491248228995586,0.10167230263903664,0.1282037992606363,0.36720554260402327,0.2700756211253015,0.5744211680546625,0.9999999500000024
sim_norm300_ColorHead_Regularized_HYP=lr57_clip3_ep100_ALL,_D,base3,0.1110655490988624,0.0018042211908419587,-0.1536703754906722,-0.49346930968807207,0.045820109466915414,0.03250446688983309,0.08231044324011114,0.1083189249819213,0.3540085779102578,0.2499099747479456,0.5137816973387191,0.9999999500000024
