name,inf base,finetune base,"bias [0, 0.6[","bias [0.6, 2[","bias [2, 4[","bias [4, 6[","smad [0, 0.6[","smad [0.6, 2[","smad [2, 4[","smad [4, 6[","oult [0, 0.6[","oult [0.6, 2[","oult [2, 4[","oult [4, 6["
sim_400_ColorHead_Regularized_HeadOnly,spec_UD,b1_1,0.04342352334996688,0.010079918278118195,-0.05612743334395684,-0.10653306163431868,0.01563887691756177,0.02105940772261475,0.062305473224092786,0.06508874399778233,0.11887755101174362,0.20227776656912527,0.45309009671387,0.4623338250187093
sim_400_ColorHead_Regularized_ALL,spec_UD,b1_1,0.041521906045681865,0.011715312111996943,-0.05260284971524924,-0.10534795225975464,0.015307719040228039,0.021145104342920874,0.06196122695712597,0.06784279952593887,0.11253644314048568,0.1995565410098994,0.45104244220941125,0.46824224450776625
sim_400_ColorHead_Regularized_HeadOnly,cos2020_UD,b1_1,1.0870151923845541,0.40061247677899514,0.03313439024599887,0.012715515581822705,0.5445028347219217,0.164975644198123,0.12617190291652322,0.0857542362968542,0.6599601660760227,0.6363876805917112,0.6681152833734012,0.5650135562265582
sim_400_ColorHead_Regularized_ALL,cos2020_UD,b1_1,1.0474053243119203,0.36905939920704856,0.03211382585191333,0.020989466138286485,0.4559523989940531,0.15466851154958264,0.1265004558210524,0.09852121278216922,0.6429969955669075,0.6280799693921623,0.6658240072651838,0.6234184364763093
sim_400_ColorHead_Regularized_HeadOnly,spec_D,b1_1,0.2621155778464945,0.11291513622242497,-0.32971767149562925,-0.3698623843390907,0.04880198971704826,0.05425605075699875,0.4855140743530633,0.3635332854639666,0.39932161566471736,0.4479753970025754,0.7815533942643039,0.8888887901234679
sim_400_ColorHead_Regularized_ALL,spec_D,b1_1,0.26551480664305604,0.1146418240815401,-0.33533292051760333,-0.4000776893975593,0.04785976229896793,0.052591052143282656,0.4698283401847341,0.4997660309950509,0.38945420894558924,0.43823680141556287,0.8203883455320954,0.8888887901234679
sim_400_ColorHead_Regularized_HeadOnly,cos2020_D,b1_1,0.9840060152610216,0.36798081505714053,0.04268186464905934,0.04936945938889256,0.26182126823904833,0.1460667109956131,0.1338908612771936,0.10830399762699885,0.6307164631742697,0.6139490368926965,0.6816102468186611,0.7037735835777857
sim_400_ColorHead_Regularized_ALL,cos2020_D,b1_1,0.8270316428604672,0.22972565726016908,0.0146666029789903,0.057097526072153175,0.13729931991817626,0.11257291767984168,0.1317787752990629,0.11196029753390314,0.5701219510022402,0.5788969971792204,0.6620921010484623,0.7547169797080812
sim_400_ColorHead_Regularized_HeadOnly,spec_UD,b2_1,0.04037324631751097,0.00995848719319488,-0.03738613045848935,-0.10441987251069185,0.010819083523576746,0.014467378496789961,0.043017577739683364,0.03546886848739233,0.09642857142154311,0.1547067123485836,0.3559195829568281,0.34564254010983375
sim_400_ColorHead_Regularized_ALL,spec_UD,b2_1,0.03666566845841696,0.009595810087437111,-0.04201518284472688,-0.09877033737834237,0.010532740043809692,0.01437470487797938,0.04134287879524992,0.03589606856320297,0.09147230320033001,0.1525398105143852,0.35815338787078305,0.3618906937047405
sim_400_ColorHead_Regularized_HeadOnly,cos2020_UD,b2_1,1.1651742738154434,0.2899312525868064,0.01897655625847122,-0.051836845548155375,1.6146433416504773,0.11929615678114076,0.09521657576029373,0.07967355014686776,0.6525335043605892,0.5869003594155466,0.5908651934273432,0.5381834613342643
sim_400_ColorHead_Regularized_ALL,cos2020_UD,b2_1,1.097378267442383,0.32709338857435954,0.010912045849585114,-0.026006492064480753,1.0435629533501365,0.13151014137676653,0.09573386255981299,0.07937633033002112,0.6339330925187534,0.5886761976253422,0.591613171991596,0.5366583822561761
