name,bias1,bias2,bias3,bias4,smad1,smad2,smad3,smad4,oult1,oult2,oult3,oult4
sim=UD_D_cond=HeadOnly_tune=b1_1_inf=spec_UD,0.06988842040300369,-0.011070355772972107,-0.11197599023580551,-0.19497333467006683,0.05123702469617128,0.04112288038060069,0.09295540185570716,0.09901938489675521,0.3725218658620611,0.30387018744689226,0.5521221145658745,0.5435745929932428
sim=UD_D_cond=ALL_tune=b1_1_inf=spec_UD,0.06024721637368202,-0.013414959423244,-0.10417714715003967,-0.1768292635679245,0.04935218424350023,0.04064946654438972,0.09763820838332175,0.10494704640358686,0.3434402332111195,0.30906067323578607,0.5528667162038595,0.5450516978655071
sim=UD_D_cond=HeadOnly_tune=b2_1_inf=spec_UD,0.059973910450935364,-0.006051624193787575,-0.1090351939201355,-0.1873329132795334,0.042089585745334626,0.036110570311546325,0.08520497419014572,0.09506949578225612,0.30364431484667315,0.26617617414502237,0.5232688010939559,0.5125553906756937
sim=UD_D_cond=ALL_tune=b2_1_inf=spec_UD,0.052033983170986176,-0.005059533752501011,-0.10726242512464523,-0.17366112768650055,0.041298874452710146,0.036212165257707235,0.08841877562329173,0.09047758868783712,0.2779154518747875,0.2628502317948574,0.5277364109218659,0.5140324955479579
sim=UD_D_cond=HeadOnly_tune=b3_1_inf=spec_UD,0.04857886955142021,-0.006857091560959816,-0.11081958562135696,-0.18502390384674072,0.037527743729576464,0.03334250086024403,0.08296453899890184,0.08363934219181537,0.2462827988158686,0.24385204594618765,0.5147058822571284,0.49630723708078694
sim=UD_D_cond=ALL_tune=b3_1_inf=spec_UD,0.044970545917749405,-0.005425837356597185,-0.1019587591290474,-0.1787225902080536,0.035307967751473185,0.033600910860300065,0.08318507147356867,0.0873748902440071,0.22667638482312855,0.24390243901209924,0.5052122113728197,0.5022156565698439
sim=UD_D_cond=HeadOnly_tune=b1_1_inf=cos2020_UD,0.5404228263794292,0.026179451786698046,-0.041075773568698314,-0.048940121048423726,0.19211613074055725,0.07241506395925108,0.06181400816211032,0.049132978048008716,0.6905613880989339,0.4938624953337307,0.4444602245787228,0.3510506100118024
sim=UD_D_cond=ALL_tune=b1_1_inf=cos2020_UD,0.5369194239285218,0.024557556345132223,-0.03344307301714836,-0.04959980499984505,0.19501686920589584,0.07135992484021243,0.06198401817842041,0.05185736569299343,0.6872700266568668,0.48733062234397734,0.43317426953328814,0.35890194304344203
sim=UD_D_cond=HeadOnly_tune=b2_1_inf=cos2020_UD,0.45945129681927177,0.025217649566723364,-0.03485911494959443,-0.041431868198437534,0.14086558864149532,0.0640000069322325,0.055815147076715116,0.0435623867315464,0.6233163420210087,0.45004274291223273,0.4038137438655929,0.29603479438002517
sim=UD_D_cond=ALL_tune=b2_1_inf=cos2020_UD,0.4493088753076307,0.024859546229283245,-0.03296321476818582,-0.039315625331898224,0.13563093605657167,0.06295842657943695,0.05481307698434868,0.04476993000658793,0.6071802315665669,0.4432369374326705,0.3943172565245099,0.30744464526053744
sim=UD_D_cond=HeadOnly_tune=b3_1_inf=cos2020_UD,0.40697987598466395,0.01820540643508893,-0.03935572411600609,-0.04629407688911765,0.10776671173751015,0.059119421426990636,0.05288041398903661,0.03949715624760371,0.5568477196678788,0.4208500408517371,0.387471832449133,0.2728761861572031
sim=UD_D_cond=ALL_tune=b3_1_inf=cos2020_UD,0.41661590727314096,0.02228971364050823,-0.03351490508170897,-0.043715536049660345,0.10805876445437888,0.058692931570741916,0.053033391108482,0.038428962442822734,0.5525267528516267,0.4169441413849793,0.3784392811795486,0.2881269769380859
sim=UD_D_cond=HeadOnly_tune=b1_1_inf=spec_D,0.46302101016044617,0.05673707649111748,-0.21635374426841736,-0.4538240432739258,0.08090021938830613,0.061197676111757755,0.3076461878299713,0.1371455830335617,0.5174221398342824,0.44490005102772934,0.9174757237015742,0.7777776913580343
sim=UD_D_cond=ALL_tune=b1_1_inf=spec_D,0.41848546266555786,0.06238662824034691,-0.20859560370445251,-0.4553127884864807,0.0787958627142012,0.06129926829636097,0.33780940120518205,0.17560970746278762,0.4955288311762168,0.4469502816776267,0.9466019371524178,0.7777776913580343
sim=UD_D_cond=HeadOnly_tune=b2_1_inf=spec_D,0.4240579605102539,0.06477495282888412,-0.18764513731002808,-0.4095023572444916,0.07352646819278598,0.060827135822921985,0.1809654945552349,0.4391532002627849,0.5050878814353722,0.44490005102772934,0.9077669858846263,0.7777776913580343
sim=UD_D_cond=ALL_tune=b2_1_inf=spec_D,0.3955748975276947,0.08363989740610123,-0.1691567450761795,-0.39191845059394836,0.06835047507584095,0.05865109463408589,0.2130060148537159,0.4331719313979149,0.46130126411924105,0.44182470505288324,0.9174757237015742,0.7777776913580343
sim=UD_D_cond=HeadOnly_tune=b3_1_inf=spec_D,0.4537307322025299,0.08528987318277359,-0.1822921186685562,-0.4125671982765198,0.06996341808065772,0.06080781044214963,0.2643066106081009,0.4192743591427803,0.5001541780758082,0.4572014349271135,0.8737864035253088,0.7777776913580343
sim=UD_D_cond=ALL_tune=b3_1_inf=spec_D,0.5117007493972778,0.11259853839874268,-0.14680726826190948,-0.3824115991592407,0.07596468614637851,0.05888037572354078,0.27575706717073917,0.5210612225174903,0.4983040393159716,0.447462839340101,0.9077669858846263,0.7777776913580343
sim=UD_D_cond=HeadOnly_tune=b1_1_inf=cos2020_D,0.4244626853181519,0.015040096350464367,-0.04639945481053615,-0.06449649979150286,0.12384400257629774,0.07770421592913263,0.0821618744436244,0.056954174452901934,0.646341463168315,0.5150137575648984,0.532479414293236,0.3867924521003916
