metric,finetune_base,value,plage,inference_base
outl,base1,0.444078945907635,2.75,D
bias,base1,-0.07122358452623863,3.25,D
smad,base1,0.035306857655059136,3.25,D
outl,base1,0.27205882152897926,3.25,D
bias,base1,-0.15836420336905663,3.75,D
smad,base1,0.051838553167310515,3.75,D
outl,base1,0.5862068763376939,3.75,D
bias,base1,-0.1622318273449984,4.25,D
smad,base1,0.055019019775167335,4.25,D
outl,base1,0.4615384260355057,4.25,D
bias,base1,-0.5827004469325416,4.75,D
smad,base1,0.02490431211002777,4.75,D
outl,base1,0.8333331944444675,4.75,D
bias,base1,-0.6398638177741974,5.25,D
smad,base1,0.0,5.25,D
outl,base1,0.9999990000010001,5.25,D
bias,base1,,5.75,D
smad,base1,,5.75,D
outl,base1,0.0,5.75,D
bias,base2,0.13044305799857986,0.25,D
smad,base2,0.028863196879155974,0.25,D
outl,base2,0.22173144866531297,0.25,D
bias,base2,0.01631778731954941,0.75,D
smad,base2,0.0191180502530963,0.75,D
outl,base2,0.10554658047777421,0.75,D
bias,base2,-0.0005346970166071058,1.25,D
smad,base2,0.023873595800461136,1.25,D
outl,base2,0.1424596549012467,1.25,D
bias,base2,-0.02434552559015042,1.75,D
smad,base2,0.037579618640997375,1.75,D
outl,base2,0.26419753053802775,1.75,D
bias,base2,-0.061679946029957286,2.25,D
smad,base2,0.05320818122623189,2.25,D
outl,base2,0.3904109580127604,2.25,D
bias,base2,-0.11003036857623856,2.75,D
smad,base2,0.04406363879668285,2.75,D
outl,base2,0.34539473570593837,2.75,D
bias,base2,-0.04956321539742111,3.25,D
smad,base2,0.0336557301750767,3.25,D
outl,base2,0.2499999981617647,3.25,D
bias,base2,-0.023321447261770965,3.75,D
smad,base2,0.03231756347960155,3.75,D
outl,base2,0.17241378715814526,3.75,D
bias,base2,-0.20497264034850243,4.25,D
smad,base2,0.08058946488253899,4.25,D
outl,base2,0.4615384260355057,4.25,D
bias,base2,-0.027035770386520913,4.75,D
smad,base2,0.025784627645006445,4.75,D
outl,base2,0.16666663888889352,4.75,D
bias,base2,-0.7923302306873109,5.25,D
smad,base2,0.0,5.25,D
outl,base2,0.9999990000010001,5.25,D
bias,base2,,5.75,D
smad,base2,,5.75,D
outl,base2,0.0,5.75,D
bias,base3,0.09548614597620109,0.25,D
smad,base3,0.02299520055328815,0.25,D
outl,base3,0.18639575963498423,0.25,D
bias,base3,0.014415952378955052,0.75,D
smad,base3,0.017034769936631795,0.75,D
outl,base3,0.09531502420696956,0.75,D
