metric,finetune_base,value,plage,inference_base
outl,base1,0.9078947338556095,2.75,D
bias,base1,-0.3968695899025532,3.25,D
smad,base1,0.18278420760585426,3.25,D
outl,base1,0.8970588169333911,3.25,D
bias,base1,-0.3835158478194466,3.75,D
smad,base1,0.529434787594334,3.75,D
outl,base1,0.9999999655172426,3.75,D
bias,base1,-0.5761732860034056,4.25,D
smad,base1,0.05641111868632001,4.25,D
outl,base1,0.9230768520710114,4.25,D
bias,base1,-0.5180349659536673,4.75,D
smad,base1,0.08744027276100322,4.75,D
outl,base1,0.9999998333333611,4.75,D
bias,base1,-0.702953367945141,5.25,D
smad,base1,0.0,5.25,D
outl,base1,0.9999990000010001,5.25,D
bias,base1,,5.75,D
smad,base1,,5.75,D
outl,base1,0.0,5.75,D
bias,base2,0.2374261930938266,0.25,D
smad,base2,0.09296468624115263,0.25,D
outl,base2,0.9054770314021745,0.25,D
bias,base2,0.022930571112623685,0.75,D
smad,base2,0.0542954935227887,0.75,D
outl,base2,0.380721593866257,0.75,D
bias,base2,-0.04958512264358208,1.25,D
smad,base2,0.05936730245243387,1.25,D
outl,base2,0.6215915411120804,1.25,D
bias,base2,-0.11975070126834274,1.75,D
smad,base2,0.1762334420979824,1.75,D
outl,base2,0.7333333324279836,1.75,D
bias,base2,-0.23223912598670035,2.25,D
smad,base2,0.2335492540704612,2.25,D
outl,base2,0.8401826464836013,2.25,D
bias,base2,-0.33824950506992246,2.75,D
smad,base2,0.422963060946109,2.75,D
outl,base2,0.8749999971217105,2.75,D
bias,base2,-0.3183705357252363,3.25,D
smad,base2,0.36732811168346263,3.25,D
outl,base2,0.8382352879541524,3.25,D
bias,base2,-0.4643372160161243,3.75,D
smad,base2,0.10067597726602114,3.75,D
outl,base2,0.9999999655172426,3.75,D
bias,base2,-0.6585948806216082,4.25,D
smad,base2,0.02345803987381177,4.25,D
outl,base2,0.9999999230769291,4.25,D
bias,base2,-0.6027519164910736,4.75,D
smad,base2,0.04602389351459436,4.75,D
outl,base2,0.9999998333333611,4.75,D
bias,base2,-0.702953367945141,5.25,D
smad,base2,0.0,5.25,D
outl,base2,0.9999990000010001,5.25,D
bias,base2,,5.75,D
smad,base2,,5.75,D
outl,base2,0.0,5.75,D
bias,base3,0.21641438262870855,0.25,D
smad,base3,0.07929099765238352,0.25,D
outl,base3,0.8462897522763738,0.25,D
bias,base3,0.030472155304433424,0.75,D
smad,base3,0.04875905561362863,0.75,D
outl,base3,0.3430263865527662,0.75,D
bias,base3,-0.03300124726153683,1.25,D
smad,base3,0.050757044374780305,1.25,D
outl,base3,0.4618809123751358,1.25,D
bias,base3,-0.07672235174687454,1.75,D
smad,base3,0.10361236044830059,1.75,D
outl,base3,0.6074074066575217,1.75,D
bias,base3,-0.1798682003409066,2.25,D
smad,base3,0.13212439851449692,2.25,D
outl,base3,0.7625570758845729,2.25,D
bias,base3,-0.28291855909198527,2.75,D
smad,base3,0.2198466033365174,2.75,D
outl,base3,0.7302631554925554,2.75,D
bias,base3,-0.22345640273812375,3.25,D
smad,base3,0.11161765085521302,3.25,D
outl,base3,0.6102941131596021,3.25,D
bias,base3,-0.2913718928307632,3.75,D
smad,base3,0.15161396858050358,3.75,D
