metric,finetune_base,value,plage,inference_base
bias,base1,0.15062074840241524,0.25,UD
smad,base1,0.03966299535103125,0.25,UD
outl,base1,0.31238421474667466,0.25,UD
bias,base1,0.011945860517246413,0.75,UD
smad,base1,0.020824144599297763,0.75,UD
outl,base1,0.1140337481844309,0.75,UD
bias,base1,0.004939553306376175,1.25,UD
smad,base1,0.02538858498069725,1.25,UD
outl,base1,0.148548573566586,1.25,UD
bias,base1,-0.01757044464180176,1.75,UD
smad,base1,0.034982400750414935,1.75,UD
outl,base1,0.26037988553145136,1.75,UD
bias,base1,-0.033061121316597615,2.25,UD
smad,base1,0.04960745361726425,2.25,UD
outl,base1,0.34271506709669664,2.25,UD
bias,base1,-0.0909731900021942,2.75,UD
smad,base1,0.05109768400109056,2.75,UD
outl,base1,0.37655417400669233,2.75,UD
bias,base1,-0.07170494375244434,3.25,UD
smad,base1,0.04451195314349498,3.25,UD
outl,base1,0.31944444433352626,3.25,UD
bias,base1,-0.1298589941268704,3.75,UD
smad,base1,0.08212473845900718,3.75,UD
outl,base1,0.5306122443280212,3.75,UD
bias,base1,-0.21189627458606045,4.25,UD
smad,base1,0.0978270976266435,4.25,UD
outl,base1,0.538940808289904,4.25,UD
bias,base1,-0.382084568937638,4.75,UD
smad,base1,0.2985693118825221,4.75,UD
outl,base1,0.7055214680642855,4.75,UD
bias,base1,-0.5710894340621347,5.25,UD
smad,base1,0.014988387979625522,5.25,UD
outl,base1,0.9629629272976693,5.25,UD
bias,base1,-0.6390422547587847,5.75,UD
smad,base1,0.09579905637458425,5.75,UD
outl,base1,0.9999997500000625,5.75,UD
bias,base2,0.1145870320009789,0.25,UD
smad,base2,0.027790398765998207,0.25,UD
outl,base2,0.23017232338669047,0.25,UD
bias,base2,0.008361388702865609,0.75,UD
smad,base2,0.017166729100796647,0.75,UD
outl,base2,0.08167901045885166,0.75,UD
bias,base2,0.005309292241267821,1.25,UD
smad,base2,0.021571469059176382,1.25,UD
outl,base2,0.11736399712160223,1.25,UD
bias,base2,-0.014102552308376115,1.75,UD
smad,base2,0.027778441227518054,1.75,UD
outl,base2,0.20339705343946202,1.75,UD
