name,bias1,bias2,bias3,bias4,smad1,smad2,smad3,smad4,oult1,oult2,oult3,oult4
sim=UD_cond=HeadOnly_tune=b1_1_inf=spec_UD,0.0690007209777832,-0.010905103757977486,-0.12707273662090302,-0.2330293357372284,0.05076745494827628,0.05060865985751152,0.11123735566735267,0.17506777938008308,0.35947521863269133,0.3690284216705791,0.5865599403226806,0.7104874435591028
sim=UD_D_adv_cond=HeadOnly_tune=b1_1_inf=spec_UD,0.12874385714530945,-0.027366122230887413,-0.3608320355415344,-0.45342350006103516,0.12086073251813649,0.11767155313342809,0.08682251242697238,0.08440990515947341,0.6389212827522652,0.6807095343337679,0.9918093817960145,0.9985228936506308
sim=UD_cond=ALL_tune=b1_1_inf=spec_UD,0.07705303281545639,-0.009152927435934544,-0.11772886663675308,-0.23362405598163605,0.05169452643692493,0.051055739479511975,0.11330945182442664,0.17215851148366926,0.3808309037623301,0.37104414430704274,0.5874906923701618,0.7104874435591028
sim=UD_D_adv_cond=ALL_tune=b1_1_inf=spec_UD,0.13304749131202698,-0.03370874747633934,-0.3645266592502594,-0.41827383637428284,0.1279589189171791,0.11135572707653045,0.0934714596658945,0.15779695335030555,0.6653790086978587,0.6808607135315027,0.9918093817960145,0.9955686839061024
sim=UD_cond=HeadOnly_tune=b2_1_inf=spec_UD,0.06612418591976166,-0.007879223674535751,-0.1283593624830246,-0.19359485805034637,0.04760683559328317,0.0473931462585926,0.1035641245856881,0.11354600685685873,0.3387755101793895,0.34861922997638484,0.5718540579724769,0.6085672073728697
sim=UD_D_adv_cond=HeadOnly_tune=b2_1_inf=spec_UD,0.06522689014673233,-0.011426317505538464,-0.35522496700286865,-0.3613334596157074,0.06433190049827099,0.08042303326427937,0.11139821088016033,0.20733415091335772,0.4379737609010223,0.5343176778605968,0.9785927027217809,0.9970457887783667
sim=UD_cond=ALL_tune=b2_1_inf=spec_UD,0.06648950278759003,-0.009173450991511345,-0.12375953793525696,-0.18480443954467773,0.04907202973812818,0.04643123495802283,0.10256098322868347,0.11232914302647114,0.3509475218403099,0.3462003628126285,0.5644080415926269,0.586410634288906
sim=UD_D_adv_cond=ALL_tune=b2_1_inf=spec_UD,0.07167278230190277,-0.009454144164919853,-0.3459131419658661,-0.3279978930950165,0.07483792642056941,0.08153778573721647,0.11746913095414638,0.20339634637534618,0.4892128279526813,0.5308909493786086,0.9672375277425097,0.9822747400557241
sim=UD_cond=HeadOnly_tune=b3_1_inf=spec_UD,0.05834221839904785,-0.01027002651244402,-0.11341258883476257,-0.18596549332141876,0.0457051496386528,0.03973277851268649,0.08969383099749684,0.10482597971409559,0.32237609327096384,0.2980245918011477,0.5230826506844596,0.5612998514604138
sim=UD_D_adv_cond=HeadOnly_tune=b3_1_inf=spec_UD,0.06324798613786697,-0.008198748342692852,-0.2932487428188324,-0.32174307107925415,0.06236485399603843,0.06139677337557077,0.1420158440977335,0.18423838227689265,0.4219387754794505,0.43952832088089455,0.9462025314694336,0.9985228936506308
sim=UD_cond=ALL_tune=b3_1_inf=spec_UD,0.05731217563152313,-0.008741794154047966,-0.11199694126844406,-0.17534954845905304,0.046747532730549574,0.03893971161134541,0.09073249150961638,0.0860539046421647,0.3260204081395029,0.28950816366208887,0.5245718539604296,0.4992614468253154
sim=UD_D_adv_cond=ALL_tune=b3_1_inf=spec_UD,-0.06193246319890022,-0.2678626775741577,-0.30044057965278625,-0.4442354142665863,0.11530371623933315,0.04811214542090893,0.12687014717906714,0.22312732264995574,0.7911807579598265,0.9921890747333103,0.959977661772156,0.9985228936506308
sim=UD_cond=HeadOnly_tune=b1_1_inf=cos2020_UD,0.6142554506538636,0.036218903293827834,-0.04457079259285897,-0.07561100273555404,0.27907945464031625,0.09125683083708355,0.07060882570986797,0.060804549717489394,0.7390709921220154,0.5791830199612754,0.4867352155836436,0.4445887934678836
sim=UD_D_adv_cond=HeadOnly_tune=b1_1_inf=cos2020_UD,0.8476319826815691,0.1386585917924006,-0.20165559810155922,-0.21867615843529306,0.3800200233266139,0.22284877085874663,0.1340213498109754,0.102452178386037,0.9783614083486082,0.8072270947532141,0.9035770417835637,0.9680298237139613
sim=UD_cond=ALL_tune=b1_1_inf=cos2020_UD,0.6202595655139989,0.03309994596826218,-0.04067267388656572,-0.07171615903134364,0.2593982604168237,0.0909344670003897,0.06959879171107067,0.06242969250672202,0.7417040812756692,0.5794522294771222,0.4757711753633304,0.4549254405527042
sim=UD_D_adv_cond=ALL_tune=b1_1_inf=cos2020_UD,0.8156544472998831,0.11177837748346013,-0.19773568663549929,-0.18286955827457713,0.3895790723837846,0.21115570086721464,0.13247941933075702,0.11621607112692775,0.9803362252138484,0.8028866816819318,0.919994697864758,0.8742657026166818
sim=UD_cond=HeadOnly_tune=b2_1_inf=cos2020_UD,0.5594783207721324,0.03741896505869482,-0.04164210432761844,-0.05707662179156602,0.25251617866060705,0.0858156925784779,0.06085246035279333,0.05159530018362094,0.7244877291171642,0.5543590688158354,0.4401333106057667,0.3826818797795593
sim=UD_D_adv_cond=HeadOnly_tune=b2_1_inf=cos2020_UD,0.7967165213336856,0.131381376843612,-0.18093414957147422,-0.18358391029617424,0.4652378414508115,0.20614969749998296,0.16196130250481597,0.08230820861510577,0.9305944704970699,0.7896340167439362,0.8595315192404749,0.9712494351010365
sim=UD_cond=ALL_tune=b2_1_inf=cos2020_UD,0.553907992827407,0.03326411459327851,-0.03661957844097828,-0.051407805041725776,0.2374956757820916,0.08315404031256012,0.06046322548154267,0.04959601604050586,0.721348276664731,0.5445211140525265,0.4254483137303732,0.3566425666314594
sim=UD_D_adv_cond=ALL_tune=b2_1_inf=cos2020_UD,0.7676028773484196,0.11349281677412747,-0.17867402520699768,-0.16260116539134534,0.4688688576076089,0.19739000325787256,0.15161579988168714,0.09687864625045002,0.9349660736432001,0.7822236705972095,0.8878600238511631,0.8679959330734299
sim=UD_cond=HeadOnly_tune=b3_1_inf=cos2020_UD,0.48533036097747007,0.020787716565288095,-0.03827034413110964,-0.04880545933483309,0.17558905298780586,0.07109043055555805,0.05376437358008517,0.04413204713512604,0.6665597677367829,0.48675441952058623,0.3844515139428464,0.31196339808450274
sim=UD_D_adv_cond=HeadOnly_tune=b3_1_inf=cos2020_UD,0.7632589640656633,0.11577246958797832,-0.15810046230715216,-0.20090569365598734,0.5717236426807477,0.1659681355469937,0.1674855781334978,0.09675978108495306,0.9019005502328951,0.7424845676790716,0.8288549300230184,0.9872910076261132
sim=UD_cond=ALL_tune=b3_1_inf=cos2020_UD,0.45431689805741254,0.017550360880132457,-0.03340884180769923,-0.04303033689021928,0.14929796226554545,0.06668072396820551,0.05327455258703766,0.04198894898001432,0.6449549336555218,0.46491538791927056,0.3734590694732578,0.29270221417235076
sim=UD_D_adv_cond=ALL_tune=b3_1_inf=cos2020_UD,0.39832222412803153,-0.21806047664043576,-0.21131001827789983,-0.33852851693359437,0.43515130771052746,0.09134822225771173,0.10798301693565245,0.1426209956679861,0.8777807784343621,0.9692392705793236,0.902923744050229,0.9994916402508195
sim=UD_cond=HeadOnly_tune=b1_1_inf=spec_D,0.6425716280937195,0.1454412341117859,-0.16433127224445343,-0.38677161931991577,0.10337177656888961,0.07287812072262168,0.3911791106343269,0.4095196094691753,0.5497995681314217,0.49359302896279184,0.9563106749693656,0.7777776913580343
sim=UD_D_adv_cond=HeadOnly_tune=b1_1_inf=spec_D,0.17673879861831665,-0.02975735440850258,-0.5684701800346375,-0.6231071352958679,0.14431070959120987,0.11908038940876722,0.06490411734580993,0.14970205450057983,0.6805427071598696,0.671963095503863,0.9951456262371572,0.9999998888889013
sim=UD_cond=ALL_tune=b1_1_inf=spec_D,0.626836359500885,0.15693169832229614,-0.16454476118087769,-0.408012717962265,0.09529929052144288,0.07151569518595934,0.41015149805545803,0.34398475234508513,0.5565834102508223,0.48846745233804845,0.9514563060608917,0.7777776913580343
sim=UD_D_adv_cond=ALL_tune=b1_1_inf=spec_D,0.21012188494205475,-0.01057348120957613,-0.5379763841629028,-0.5910771489143372,0.15190836236178873,0.12799248841255903,0.072652297103405,0.14536344852447508,0.7523897623335215,0.6955407479776828,0.9951456262371572,0.9999998888889013
sim=UD_cond=HeadOnly_tune=b2_1_inf=spec_D,0.607502818107605,0.09893767535686493,-0.1972191035747528,-0.3623107671737671,0.0902756580658257,0.06879600270241498,0.26898853343725204,0.4273882133245468,0.5501079245913945,0.481804202725882,0.9223300926100481,0.7777776913580343
sim=UD_D_adv_cond=HeadOnly_tune=b2_1_inf=spec_D,0.1768876314163208,-0.00897127389907837,-0.5741937756538391,-0.5780684947967529,0.13996292419731615,0.09731946939378976,0.1123235094487667,0.13651161775588988,0.6188714151653187,0.5853408505456992,0.9999999951456311,0.9999998888889013
sim=UD_cond=ALL_tune=b2_1_inf=spec_D,0.5853453874588013,0.10431568324565887,-0.17690439522266388,-0.3921875059604645,0.08843800158798694,0.06739834521263838,0.31441549479961395,0.11141723248958588,0.5516497068912583,0.47667862610113854,0.9126213547931002,0.7777776913580343
sim=UD_D_adv_cond=ALL_tune=b2_1_inf=spec_D,0.2247636318206787,0.029828792437911034,-0.546247661113739,-0.5272442102432251,0.1789384007424116,0.10891369265019893,0.09742483938932418,0.13463561428785323,0.737897008714802,0.6063557147071472,0.9999999951456311,0.9999998888889013
sim=UD_cond=HeadOnly_tune=b3_1_inf=spec_D,0.5572525262832642,0.08658246695995331,-0.19237762689590454,-0.37423044443130493,0.08775780231133103,0.06578785447105764,0.3451255628764629,0.4212685130953788,0.5476410729116123,0.46232701155185696,0.8883495102507305,0.7777776913580343
sim=UD_D_adv_cond=HeadOnly_tune=b3_1_inf=spec_D,0.24652259051799774,0.053909480571746826,-0.5230258107185364,-0.48116254806518555,0.1430370239496231,0.08683797715008258,0.18674342440366745,0.1348735942840576,0.6219549797650463,0.5448487952102261,0.9902912573286833,0.9999998888889013
sim=UD_cond=ALL_tune=b3_1_inf=spec_D,0.5008350610733032,0.10167676210403442,-0.18507657945156097,-0.3046134114265442,0.08341031516566873,0.06378532747551799,0.3112423103570938,0.3730991261065006,0.5306814676131109,0.46232701155185696,0.8932038791592045,0.7777776913580343
sim=UD_D_adv_cond=ALL_tune=b3_1_inf=spec_D,0.13566148281097412,-0.07679302990436554,-0.5958424806594849,-0.5873422026634216,0.24432605579495428,0.07667939937114715,0.055798576748371125,0.04911392809152603,0.8353376500661925,0.9794976929884686,0.9951456262371572,0.9999998888889013
sim=UD_cond=HeadOnly_tune=b1_1_inf=cos2020_D,0.4796493614369004,0.022902488978797583,-0.05572002617370721,-0.12638765679250202,0.16006556426889565,0.09566565415375358,0.09188278297051258,0.08430398443067422,0.6821646338863702,0.5930135182924975,0.5742604450825678,0.5283018857956568
sim=UD_D_adv_cond=HeadOnly_tune=b1_1_inf=cos2020_D,0.6636284699206302,0.12211406297840517,-0.2251196067107531,-0.25819410456311204,0.3645595442975798,0.20957618475440185,0.12183547942440662,0.14854883671314562,0.9432164630551767,0.7899270246692275,0.9359560838865641,0.9754716962726949
sim=UD_cond=ALL_tune=b1_1_inf=cos2020_D,0.48617420663228733,0.021086910509667843,-0.05216296638152427,-0.12334297126929812,0.16154496545333297,0.09665705295529615,0.09036730000708194,0.08623680093230304,0.6840701216905221,0.5968417274079625,0.559926806782578,0.5132075462014952
sim=UD_D_adv_cond=ALL_tune=b1_1_inf=cos2020_D,0.6402105925447334,0.09909590762179889,-0.21598919955911194,-0.22168338407494043,0.3764888508051445,0.19781279950741795,0.11800897470066299,0.1687391238609909,0.9500762191501234,0.7839454479263135,0.9353461418312455,0.8528301870701317
sim=UD_cond=HeadOnly_tune=b2_1_inf=cos2020_D,0.41041933820592447,0.022681800170874813,-0.05972483574675984,-0.09781426825800398,0.13312870231574636,0.08901456001786631,0.08225097792437103,0.06664278100165955,0.6566310973107351,0.5672927382979671,0.529124732988983,0.4698113198682805
sim=UD_D_adv_cond=HeadOnly_tune=b2_1_inf=cos2020_D,0.6232221205148546,0.11757987559759502,-0.19499791675838174,-0.21465642973267374,0.46560462788918366,0.18930697701958332,0.15593048080861027,0.11026684112430157,0.8631859752807981,0.7676755591855873,0.8792314727419239,0.9698113189248843
sim=UD_cond=ALL_tune=b2_1_inf=cos2020_D,0.3975450082856526,0.021310355160306525,-0.05861432009409813,-0.08807219743700034,0.12612813557841157,0.08678807903094171,0.08373026397755993,0.0695666141851774,0.6429115851208417,0.5576025839744464,0.5352241535421701,0.4584905651726593
sim=UD_D_adv_cond=ALL_tune=b2_1_inf=cos2020_D,0.6107998345412854,0.10365538351558434,-0.18861960475480388,-0.19567374194677736,0.4680277671033109,0.18069740279084914,0.1452617358850904,0.13423960951011243,0.8700457313757448,0.7594209832803659,0.9130832568121124,0.8396226399252403
sim=UD_cond=HeadOnly_tune=b3_1_inf=cos2020_D,0.33197817345965,0.005439107591719952,-0.060623860926384346,-0.08590016105321346,0.10707670878730717,0.07402932901578003,0.07537123898861153,0.05585490736339301,0.6051829265986346,0.4992223949636054,0.501677340499641,0.3792452823033108
sim=UD_D_adv_cond=HeadOnly_tune=b3_1_inf=cos2020_D,0.6136452639873321,0.10032329031680343,-0.160211671667457,-0.22484064818715568,0.5955952287298105,0.15304946833554636,0.17718121439101725,0.12038659742341977,0.8338414630968592,0.7095346332444629,0.8652028054695936,0.9792452811712353
sim=UD_cond=ALL_tune=b3_1_inf=cos2020_D,0.3036593818333491,0.004791183214061972,-0.06092397550799131,-0.07673638351682088,0.1000585776628781,0.07094473315127514,0.07700456607337396,0.05007727577112428,0.5994664631861789,0.4840291900366037,0.49740774611240995,0.35660377291206835
sim=UD_D_adv_cond=ALL_tune=b3_1_inf=cos2020_D,0.28870223847162324,-0.22898778028786607,-0.2078847446988704,-0.3600566801442756,0.3319840545912182,0.09117805400432685,0.12143997497897487,0.19781193271558778,0.8597560972333247,0.9703313792355148,0.8950899661802104,0.9981132056639374
